"","date","Price","meanf","naive","snaive","rwf","ses","holt","splinef","thetaf","ets","tbats","arima","nnetar"
"142",2018-05-23,41.893673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",2018-05-24,42.637589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",2018-05-25,43.958996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",2018-05-26,43.958996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",2018-05-27,43.958996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",2018-05-28,43.958996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",2018-05-29,42.666946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",2018-05-30,42.383091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",2018-05-31,42.618011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",2018-06-01,43.068272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",2018-06-02,43.068272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",2018-06-03,43.068272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",2018-06-04,43.910057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",2018-06-05,43.244461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",2018-06-06,43.254242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",2018-06-07,42.911655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",2018-06-08,42.197113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",2018-06-09,42.197113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",2018-06-10,42.197113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",2018-06-11,43.22488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",2018-06-12,42.490761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",2018-06-13,42.011131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",2018-06-14,42.167755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",2018-06-15,41.864315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",2018-06-16,41.864315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",2018-06-17,41.864315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",2018-06-18,41.541302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",2018-06-19,40.631001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2018-06-20,41.13998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",2018-06-21,40.611423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",2018-06-22,40.474384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",2018-06-23,40.474384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",2018-06-24,40.474384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",2018-06-25,38.839748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",2018-06-26,38.262241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",2018-06-27,37.449818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",2018-06-28,37.391087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",2018-06-29,37.156174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",2018-06-30,37.156174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",2018-07-01,37.156174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",2018-07-02,37.547703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",2018-07-03,36.950615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",2018-07-04,36.950615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",2018-07-05,37.185535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",2018-07-06,37.283417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",2018-07-07,37.283417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",2018-07-08,37.283417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",2018-07-09,38.477585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",2018-07-10,38.291603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",2018-07-11,35.198521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",2018-07-12,35.560692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",2018-07-13,36.333954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",2018-07-14,36.333954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
